Work Order,Start Date,Start Time,Duration(hrs),Contract,Type,Location,Addl Loc,Description,Status,Substatus,Project Manager,Flags,End Date,End Time,GR,Suites
110053,3/18/2019,8:00:00 AM,24,CFT0CSD,TEST,BLD,,AEGION CORPORATION,ACTIVE,CONF,MANIKANTAN NAMASIVAYAM VEERA,,3/19/2019,8:00:00 AM,GR,BRECKENRIDGE
110053,3/17/2019,8:00:00 AM,24,CFT0CSD,SETUP,BLD,,AEGION CORPORATION comp set-up,CANCEL,PEND,MANIKANTAN NAMASIVAYAM VEERA,,3/18/2019,8:00:00 AM,GR,BRECKENRIDGE
110053,3/17/2019,8:00:00 AM,24,CFT0CSD,SETUP,BLD,,AEGION CORPORATION comp set-up,CANCEL,CONF,MANIKANTAN NAMASIVAYAM VEERA,,3/18/2019,8:00:00 AM,GR,BRECKENRIDGE
110053,3/18/2019,8:00:00 AM,4,CFT0CTD,TEST,BLD,,AEGION CORPORATION,CANCEL,PEND,MANIKANTAN NAMASIVAYAM VEERA,,3/18/2019,12:00:00 PM,GR,BRECKENRIDGE
110053,3/18/2019,8:00:00 AM,4,CFT0CSD,TEST,BLD,,AEGION CORPORATION,CANCEL,PEND,MANIKANTAN NAMASIVAYAM VEERA,,3/18/2019,12:00:00 PM,GR,BRECKENRIDGE
110053,3/18/2019,8:00:00 AM,24,CFT0CSD,TEST,BLD,,AEGION CORPORATION,CANCEL,CONF,MANIKANTAN NAMASIVAYAM VEERA,,3/19/2019,8:00:00 AM,GR,BRECKENRIDGE
110053,3/18/2019,8:00:00 AM,4,CFT0CVD,TEST,BLD,,AEGION CORPORATION,CANCEL,PEND,MANIKANTAN NAMASIVAYAM VEERA,EBRS,3/18/2019,12:00:00 PM,GR,
110053,3/18/2019,8:00:00 AM,24,CFT0CVD,TEST,BLD,,AEGION CORPORATION,CANCEL,CONF,MANIKANTAN NAMASIVAYAM VEERA,EBRS,3/19/2019,8:00:00 AM,GR,
110053,3/18/2019,8:00:00 AM,24,CFT0D7D,TEST,BLD,IRU,AEGION CORPORATION,CANCEL,CONF,MANIKANTAN NAMASIVAYAM VEERA,ACD,3/19/2019,8:00:00 AM,GR,BRECKENRIDGE
110053,3/18/2019,8:00:00 AM,24,CFT0CTD,TEST,BLD,,AEGION CORPORATION,CANCEL,CONF,MANIKANTAN NAMASIVAYAM VEERA,,3/19/2019,8:00:00 AM,GR,BRECKENRIDGE
110054,5/5/2019,5:00:00 PM,48,CFTTNGQ,TEST,BLD,,CITY OF LONG BEACH,ACTIVE,CONF,Bonda Madhusudana Rao,EBRS,5/7/2019,5:00:00 PM,GR,ELDORA NCA1 OFFICE-228
